time,RegionName,value
2008-04-01,99301,130400.0
2008-04-01,76051,215900.0
2008-04-01,78210,75400.0
2008-04-01,76039,147200.0
2008-04-01,75028,217900.0
2008-04-01,15217,201500.0
2008-04-01,75035,235500.0
2008-04-01,2453,392000.0
2008-04-01,78602,127200.0
2008-04-01,76116,121100.0
2008-04-01,76021,166900.0
2008-04-01,75019,268900.0
2008-04-01,76040,142600.0
2008-04-01,43221,226100.0
2008-04-01,77840,138000.0
2008-04-01,78748,187400.0
2008-04-01,78626,157000.0
2008-04-01,37129,155700.0
2008-04-01,43214,199500.0
2008-04-01,80910,137500.0
2008-04-01,70663,102400.0
2008-04-01,78728,178300.0
2008-04-01,75287,224400.0
2008-04-01,58078,163300.0
2008-04-01,76108,110100.0
2008-05-01,99301,130000.0
2008-05-01,76051,215300.0
2008-05-01,78210,74700.0
2008-05-01,76039,147000.0
2008-05-01,75028,217600.0
2008-05-01,15217,201800.0
2008-05-01,75035,235200.0
2008-05-01,2453,389900.0
2008-05-01,78602,127200.0
2008-05-01,76116,121200.0
2008-05-01,76021,166700.0
2008-05-01,75019,268000.0
2008-05-01,76040,141900.0
2008-05-01,43221,225700.0
2008-05-01,77840,138200.0
2008-05-01,78748,187100.0
2008-05-01,78626,157100.0
2008-05-01,37129,155400.0
2008-05-01,43214,199300.0
2008-05-01,80910,136200.0
2008-05-01,70663,102200.0
2008-05-01,78728,178900.0
2008-05-01,75287,224200.0
2008-05-01,58078,163600.0
2008-05-01,76108,109400.0
2008-06-01,99301,129900.0
2008-06-01,76051,214500.0
2008-06-01,78210,74100.0
2008-06-01,76039,146700.0
2008-06-01,75028,217600.0
2008-06-01,15217,202600.0
2008-06-01,75035,235300.0
2008-06-01,2453,387900.0
2008-06-01,78602,127500.0
2008-06-01,76116,121300.0
2008-06-01,76021,166600.0
2008-06-01,75019,267200.0
2008-06-01,76040,141400.0
2008-06-01,43221,225200.0
2008-06-01,77840,138400.0
2008-06-01,78748,187100.0
2008-06-01,78626,157400.0
2008-06-01,37129,154800.0
2008-06-01,43214,199000.0
2008-06-01,80910,135000.0
2008-06-01,70663,101900.0
2008-06-01,78728,179300.0
2008-06-01,75287,224500.0
2008-06-01,58078,163900.0
2008-06-01,76108,108700.0
2008-07-01,99301,129700.0
2008-07-01,76051,213900.0
2008-07-01,78210,73500.0
2008-07-01,76039,146500.0
2008-07-01,75028,217800.0
2008-07-01,15217,203500.0
2008-07-01,75035,235500.0
2008-07-01,2453,386000.0
2008-07-01,78602,127400.0
2008-07-01,76116,121300.0
2008-07-01,76021,166500.0
2008-07-01,75019,267300.0
2008-07-01,76040,141100.0
2008-07-01,43221,224600.0
2008-07-01,77840,138600.0
2008-07-01,78748,187000.0
2008-07-01,78626,157700.0
2008-07-01,37129,154100.0
2008-07-01,43214,198700.0
2008-07-01,80910,134100.0
2008-07-01,70663,101800.0
2008-07-01,78728,179400.0
2008-07-01,75287,225100.0
2008-07-01,58078,164300.0
2008-07-01,76108,108200.0
2008-08-01,99301,129500.0
2008-08-01,76051,213600.0
2008-08-01,78210,73100.0
2008-08-01,76039,146600.0
2008-08-01,75028,218200.0
2008-08-01,15217,204100.0
2008-08-01,75035,235700.0
2008-08-01,2453,384800.0
2008-08-01,78602,126700.0
2008-08-01,76116,121000.0
2008-08-01,76021,166400.0
2008-08-01,75019,267800.0
2008-08-01,76040,141000.0
2008-08-01,43221,224000.0
2008-08-01,77840,138700.0
2008-08-01,78748,186900.0
2008-08-01,78626,157900.0
2008-08-01,37129,153400.0
2008-08-01,43214,198500.0
2008-08-01,80910,133600.0
2008-08-01,70663,102200.0
2008-08-01,78728,179200.0
2008-08-01,75287,225700.0
2008-08-01,58078,164600.0
2008-08-01,76108,107800.0
2008-09-01,99301,129400.0
2008-09-01,76051,213500.0
2008-09-01,78210,72900.0
2008-09-01,76039,146800.0
2008-09-01,75028,218800.0
2008-09-01,15217,204700.0
2008-09-01,75035,235900.0
2008-09-01,2453,384200.0
2008-09-01,78602,125700.0
2008-09-01,76116,120900.0
2008-09-01,76021,166400.0
2008-09-01,75019,268600.0
2008-09-01,76040,140900.0
2008-09-01,43221,223400.0
2008-09-01,77840,138700.0
2008-09-01,78748,186800.0
2008-09-01,78626,158000.0
2008-09-01,37129,152700.0
2008-09-01,43214,198600.0
2008-09-01,80910,133300.0
2008-09-01,70663,102900.0
2008-09-01,78728,178800.0
2008-09-01,75287,226400.0
2008-09-01,58078,164900.0
2008-09-01,76108,107600.0
2008-10-01,99301,129500.0
2008-10-01,76051,213700.0
2008-10-01,78210,72600.0
2008-10-01,76039,146900.0
2008-10-01,75028,219300.0
2008-10-01,15217,205400.0
2008-10-01,75035,236200.0
2008-10-01,2453,384100.0
2008-10-01,78602,124900.0
2008-10-01,76116,120900.0
2008-10-01,76021,166400.0
2008-10-01,75019,269400.0
2008-10-01,76040,140800.0
2008-10-01,43221,222900.0
